Roll Number,Email,Mobile,Address,Password,Sex,Department,Year,Name,CPI,Coordinator ID
110ME1067,clarence.gabbert@gmail.com,247761384,Verges Creek,2440,F,ME,4,Clarence Gabbert,5.4048116431,ME1083
10DAE1010,carlota.gephardt@gephardt.com.au,250784389,Kundabung,2441,F,AE,5,Carlota Gephardt,5.6487845117,AE1013
110PH1055,crista_padua@gmail.com,294725814,North Haven,2443,F,PH,4,Crista Padua,9.6977325887,PH1006
10DCS1015,genevive@hotmail.com,262465711,Bellangry,2446,F,CS,5,Genevive Sanborn,4.3139037979,CS1028
110ME1065,victor@laroia.net.au,281566969,Scotts Head,2447,F,ME,4,Victor Laroia,9.873158548,ME1072
10DCS1025,johnson@gmail.com,217184983,Nambucca Heads,2448,F,CS,5,Johnson Mcenery,7.1171704079,CS1103
10DCS1010,krebich@rebich.net.au,249723570,Sawtell,2452,F,CS,5,Keena Rebich,9.4190604039,CS1051
110PH1081,magda_lindbeck@yahoo.com,237133646,Emerald Beach,2456,F,PH,4,Magda Lindbeck,7.0637282399,PH1067
110CS1091,earlean.suffern@suffern.net.au,296532199,Woodford,2463,M,CS,4,Earlean Suffern,8.7734788805,CS1103
110AE1070,ksarkissian@yahoo.com,234902407,Chatsworth,2469,M,AE,4,Karol Sarkissian,4.441444851,AE1009
110ME1020,tegan_ebershoff@hotmail.com,266049720,Coombell,2470,F,ME,4,Tegan Ebershoff,7.5910552107,ME1033
110CS1053,hester_dollins@gmail.com,216226412,The Risk,2474,F,CS,4,Hester Dollins,9.6362509253,CS1006
110EE1070,aalerte@alerte.com.au,269747785,Grevillia,2474,F,EE,4,Alica Alerte,8.8657204453,EE1022
110AE1082,fredric@hotmail.com,218271736,Wardell,2477,F,AE,4,Fredric Johanningmeie,5.2127863402,AE1034
10DEE1103,temeka.bodine@gmail.com,225817479,Clunes,2480,M,EE,5,Temeka Bodine,5.6215584711,EE1058
110AE1087,jesus.liversedge@hotmail.com,244185927,Broken Head,2481,M,AE,4,Jesus Liversedge,5.9372186158,AE1093
110EE1020,annice_kunich@kunich.net.au,267696153,Tyagarah,2481,M,EE,4,Annice Kunich,5.2131702174,EE1092
10DPH1043,emikovec@mikovec.com.au,298292371,Ocean Shores,2483,M,PH,5,Eliseo Mikovec,7.4550453634,PH1006
110PH1049,nancey@whal.net.au,232483283,Cudgera Creek,2484,M,PH,4,Nancey Whal,9.8078076681,PH1062
110ME1011,rolf_gene@gene.com.au,244582810,Flinders,2529,F,ME,4,Rolf Gene,4.2089099288,ME1083
110PH1089,sherrell_sprowl@hotmail.com,240744461,Oak Flats,2529,F,PH,4,Sherrell Sprowl,8.4275333313,PH1087
110PH1046,barabara@amedro.net.au,234496894,Yallah,2530,M,PH,4,Barabara Amedro,8.6591180852,PH1087
110AE1042,reuben@yahoo.com,214025215,Milton,2538,F,AE,4,Reuben Hegland,8.716831963,AE1088
10DAE1071,wava.ochs@gmail.com,212227812,Bawley Point,2539,M,AE,5,Wava Ochs,5.9821023969,AE1034
10DEE1073,rodrigo_schuh@gmail.com,238694096,Burrier,2540,F,EE,5,Rodrigo Schuh,6.8619126435,EE1050
110EE1080,scot.jarva@jarva.com.au,296764462,Kingswood,2550,F,EE,4,Scot Jarva,6.4206936639,EE1038
110ME1050,emmanuel@yahoo.com,219878525,Appin,2560,F,ME,4,Emmanuel Avera,6.6722718119,ME1001
110AE1078,isreal_calizo@gmail.com,234943282,Wombeyan Caves,2580,M,AE,4,Isreal Calizo,4.3372989637,AE1002
110CS1084,dana_vock@yahoo.com,266891150,Yarralumla,2600,M,CS,4,Dana Vock,8.5926563544,CS1052
10DPH1091,soledad_mockus@yahoo.com,212918182,Barton,2600,M,PH,5,Soledad Mockus,8.4237234979,PH1015
10DME1003,rnybo@nybo.net.au,253117778,Red Hill,2603,F,ME,5,Roy Nybo,6.4222834357,ME1027
110EE1040,alothridge@hotmail.com,219193941,Civic Square,2608,M,EE,4,Annamae Lothridge,8.9716617377,EE1022
110PH1073,katheryn_lamers@gmail.com,248851611,Fyshwick,2609,F,PH,4,Katheryn Lamers,6.0073988717,PH1019
110PH1077,gpecot@hotmail.com,280813883,Gundaroo,2620,F,PH,4,Gracia Pecot,4.444947809,PH1022
110CS1000,gerardo_woodka@hotmail.com,260444682,Talmalmo,2640,F,CS,4,Gerardo Woodka,6.7935755835,CS1051
110CS1031,son.magnotta@magnotta.net.au,223767653,Collingullie,2650,M,CS,4,Son Magnotta,9.3275202271,CS1006
110EE1098,onita.milbrandt@milbrandt.com.au,211573829,Wagga Wagga South,2650,M,EE,4,Onita Milbrandt,8.1517515327,EE1022
110CS1046,stephania.connon@connon.com.au,257255992,Gumly Gumly,2652,M,CS,4,Stephania Connon,6.7438724078,CS1006
110PH1063,katy_saltourides@yahoo.com,230031369,Junee,2663,M,PH,4,Katy Saltourides,4.8907421399,PH1062
110AE1018,rebeca_baley@hotmail.com,270497728,Mirrool,2665,M,AE,4,Rebeca Baley,6.1883372986,AE1009
110EE1079,alysa@hotmail.com,213853480,Trungley Hall,2666,M,EE,4,Alysa Lehoux,7.4269071943,EE1058
110AE1085,anna.ovit@hotmail.com,246495341,Bygalorie,2669,F,AE,4,Anna Ovit,5.3543285104,AE1020
10DPH1010,craig_vandersloot@yahoo.com,254877528,Bygalorie,2669,M,PH,5,Craig Vandersloot,4.8620724073,PH1024
110ME1013,francene.skursky@skursky.net.au,259413178,Hillston,2675,M,ME,4,Francene Skursky,4.9018942215,ME1027
110PH1070,arlie.borra@gmail.com,212113823,Morundah,2700,M,PH,4,Arlie Borra,8.072697592,PH1085
110CS1054,susana.baumgarter@yahoo.com,254105137,Yanco,2703,F,CS,4,Susana Baumgarter,9.551072849,CS1028
10DCS1023,jacquelyne.rosso@yahoo.com,245656425,Caldwell,2710,M,CS,5,Jacquelyne Rosso,9.9386324463,CS1034
110CS1110,marsha@farnham.com.au,254028024,Glenmore Park,2745,F,CS,4,Marsha Farnham,5.7176213106,CS1103
110ME1073,moverbough@overbough.com.au,279472980,Penrith,2750,M,ME,4,Magnolia Overbough,7.0914122229,ME1022
10DAE1086,shawnta@woodhams.com.au,257708546,Oakhurst,2761,F,AE,5,Shawnta Woodhams,7.7767006056,AE1093
110AE1054,sgoodness@goodness.net.au,222082711,Maraylya,2765,F,AE,4,Sanjuana Goodness,8.7573765237,AE1093
110EE1025,deischens@gmail.com,277396600,Bell,2786,M,EE,4,Dorian Eischens,7.6034587175,EE1022
10DEE1091,annalee.graleski@hotmail.com,261188773,Darbys Falls,2793,F,EE,5,Annalee Graleski,6.0312287537,EE1092
110CS1061,jbiasi@biasi.net.au,250952983,Duramana,2795,F,CS,4,Jonell Biasi,4.0474087973,CS1028
110CS1064,aliza@yahoo.com,293247803,Forest Reefs,2798,F,CS,4,Aliza Akiyama,9.9923030003,CS1006
110PH1002,ena_desjardiws@desjardiws.com.au,252269402,Bendick Murrell,2803,M,PH,4,Ena Desjardiws,4.3688763017,PH1087
110PH1005,htaghon@taghon.net.au,216384380,Eugowra,2806,M,PH,4,Hayley Taghon,7.7210193868,PH1015
110AE1003,rtabar@hotmail.com,235187078,Arthurville,2820,M,AE,4,Reita Tabar,4.3945769155,AE1009
110EE1075,bdiciano@diciano.com.au,235667608,Dripstone,2820,F,EE,4,Bettina Diciano,5.5134986443,EE1050
10DAE1094,jvonstaden@gmail.com,282229319,Ilford,2850,M,AE,5,Jeannetta Vonstaden,7.6357828872,AE1088
110PH1093,lenora@delacruz.net.au,278625151,Turill,2850,M,PH,4,Lenora Delacruz,8.7308105384,PH1022
110ME1049,elmer@hotmail.com,210754690,Forbes,2871,F,ME,4,Elmer Redlon,8.7049947656,ME1027
10DCS1056,cdigregorio@digregorio.net.au,279225417,Condobolin,2877,F,CS,5,Cassie Digregorio,5.1277592178,CS1103
110CS1079,jamie@kushnir.net.au,246238120,Tuggeranong Dc,2901,M,CS,4,Jamie Kushnir,5.6167316474,CS1052
110CS1011,lavonne.esco@yahoo.com,334742120,East Melbourne,3002,M,CS,4,Lavonne Esco,8.8654155536,CS1028
10DCS1088,eguenther@hotmail.com,327491381,Docklands,3008,M,CS,5,Ellsworth Guenther,9.8186968612,CS1103
110EE1047,terina_wildeboer@wildeboer.com.au,391077349,Seddon,3011,M,EE,4,Terina Wildeboer,8.9459129907,EE1038
10DAE1063,laine@gmail.com,328136426,Braybrook,3019,F,AE,5,Laine Killean,4.9255498117,AE1013
110EE1089,rosenda@gmail.com,395994122,Caroline Springs,3023,F,EE,4,Rosenda Petteway,6.2901688307,EE1058
10DAE1037,arthur@gmail.com,325173453,Travancore,3032,F,AE,5,Arthur Diniz,7.7481238842,AE1000
110AE1096,christene@hotmail.com,336302467,Keilor Downs,3038,M,AE,4,Christene Cisney,9.9290655055,AE1000
10DCS1037,raelene@gmail.com,348781766,Oak Park,3046,F,CS,5,Raelene Legeyt,6.949017222,CS1006
10DEE1023,shayduk@gmail.com,322979891,Regent West,3072,M,EE,5,Shizue Hayduk,4.8621591739,EE1058
10DPH1021,ivette_servantes@servantes.com.au,398019429,Reservoir,3073,M,PH,5,Ivette Servantes,4.2269226429,PH1019
110ME1014,zdaria@gmail.com,328228156,Ivanhoe East,3079,M,ME,4,Zena Daria,8.0062175873,ME1060
110AE1039,sweigner@gmail.com,389125755,Heidelberg Rgh,3081,M,AE,4,Sang Weigner,9.0234993049,AE1002
10DEE1044,fsenters@gmail.com,359337288,Heidelberg Rgh,3081,F,EE,5,Francis Senters,8.6403186889,EE1050
10DCS1062,antonio.eighmy@yahoo.com,361447318,Eaglemont,3084,F,CS,5,Antonio Eighmy,9.1058777263,CS1034
110ME1035,mdecelles@decelles.net.au,351856258,Eltham,3095,F,ME,4,Miesha Decelles,6.7110636327,ME1060
10DPH1037,javier@osmer.com.au,383696924,Doncaster East,3109,F,PH,5,Javier Osmer,4.7164974129,PH1022
10DCS1026,eveline@yahoo.com,395179800,Camberwell West,3124,M,CS,5,Eveline Brickhouse,4.5694623524,CS1051
110EE1078,marylou_lofts@lofts.com.au,317654584,Houston,3128,M,EE,4,Marylou Lofts,8.8329625805,EE1058
110ME1032,farrah@malboeuf.com.au,371396376,Ringwood,3134,F,ME,4,Farrah Malboeuf,7.8790361066,ME1022
110CS1041,emcquaide@yahoo.com,314658645,Boronia,3155,M,CS,4,Edda Mcquaide,4.7255871734,CS1052
110ME1046,whermens@hermens.net.au,390855714,Oakleigh South,3167,F,ME,4,Werner Hermens,4.3968061972,ME1027
110CS1108,burma.noa@gmail.com,364384586,Ripponlea,3185,M,CS,4,Burma Noa,4.1165869031,CS1034
10DCS1067,denae_saeteun@hotmail.com,328027434,Moorabbin Airport,3194,F,CS,5,Denae Saeteun,9.8004228482,CS1027
110EE1086,alberta_motter@hotmail.com,312488221,Port Melbourne,3207,F,EE,4,Alberta Motter,5.0353356679,EE1050
110EE1031,nikita_novosel@novosel.net.au,357161053,Hamlyn Heights,3215,M,EE,4,Nikita Novosel,6.4556984194,EE1038
10DEE1081,jackie_borchelt@hotmail.com,380558668,Grovedale,3216,M,EE,5,Jackie Borchelt,7.4602059838,EE1092
110EE1015,breana@yahoo.com,323058627,Stonehaven,3221,F,EE,4,Breana Cassi,5.2595877233,EE1092
110PH1069,kathrine@yahoo.com,387919436,Indented Head,3223,F,PH,4,Kathrine Francoise,7.0697102896,PH1085
110PH1076,mthaxton@gmail.com,340101900,Forrest,3236,F,PH,4,Ming Thaxton,5.9623179636,PH1085
110PH1023,iraida.sionesini@yahoo.com,348125654,Modewarre,3240,F,PH,4,Iraida Sionesini,6.026415478,PH1019
10DAE1047,lettie_hessenthaler@hessenthaler.net.au,358555156,Wurdiboluc,3241,M,AE,5,Lettie Hessenthaler,8.2771003479,AE1020
110EE1003,gjulye@hotmail.com,370636734,Alvie,3249,F,EE,4,Gwen Julye,7.1767626787,EE1038
10DCS1083,omega.mangino@hotmail.com,366235501,Gnotuk,3260,M,CS,5,Omega Mangino,5.125131839,CS1027
10DCS1094,jospeh.couzens@couzens.com.au,384517537,Panmure,3265,M,CS,5,Jospeh Couzens,4.6789562223,CS1103
10DEE1045,dahlia.tummons@gmail.com,382168640,Port Fairy,3284,F,EE,5,Dahlia Tummons,4.459960619,EE1022
110ME1054,lynelle.koury@koury.net.au,352138219,Digby,3309,F,ME,4,Lynelle Koury,5.0280432152,ME1084
10DME1044,dducos@hotmail.com,313618465,Cavendish,3314,M,ME,5,Delsie Ducos,4.2209671373,ME1084
10DEE1012,jeniffer@gmail.com,332685102,Myrniong,3341,F,EE,5,Jeniffer Jezek,4.6486630603,EE1022
110EE1014,millie_pirkl@gmail.com,360232680,Sovereign Hill,3350,M,EE,4,Millie Pirkl,6.3712808988,EE1058
110ME1007,shaun.rael@rael.com.au,389985485,Buninyong,3357,M,ME,4,Shaun Rael,7.7599900188,ME1083
110CS1075,juan@gmail.com,391736140,Clunes,3370,M,CS,4,Juan Knudtson,4.3099389258,CS1052
110EE1028,swhelpley@yahoo.com,351756193,Minyip,3392,F,EE,4,Silvana Whelpley,9.4029454477,EE1050
110EE1054,ora.handrick@gmail.com,383574617,Rocklands,3401,M,EE,4,Ora Handrick,4.3899993571,EE1022
10DEE1041,tien_kinney@kinney.com.au,377676169,Lillimur,3420,M,EE,5,Tien Kinney,4.3838269697,EE1038
10DPH1083,wai.raddle@raddle.com.au,348113832,Carlsruhe,3442,F,PH,5,Wai Raddle,4.7747430163,PH1024
110ME1079,clement@hotmail.com,327754083,Golden Point,3451,M,ME,4,Clement Chee,6.9992483011,ME1022
110EE1033,dvollstedt@vollstedt.com.au,367761146,Muckleford South,3462,F,EE,4,Dean Vollstedt,4.1819741102,EE1022
110EE1084,cleveston@gmail.com,325748915,Daisy Hill,3465,F,EE,4,Chara Leveston,8.4082187917,EE1092
10DPH1029,lashonda@langanke.net.au,398387533,Simson,3465,F,PH,5,Lashonda Langanke,6.8267368022,PH1019
10DCS1098,ikueter@kueter.com.au,337256290,Amphitheatre,3468,F,CS,5,Isaiah Kueter,9.3473964576,CS1006
110ME1034,andrew@gmail.com,352513153,Carwarp,3494,M,ME,4,Andrew Keks,5.6038576602,ME1072
110EE1062,irving@hotmail.com,390502741,Cullulleraine,3496,F,EE,4,Irving Plocica,5.0566405142,EE1050
110EE1083,lina@yahoo.com,336085660,Koorlong,3501,F,EE,4,Lina Schwiebert,6.5888841087,EE1038
110EE1085,pansy_todesco@gmail.com,332334255,Tarnagulla,3551,M,EE,4,Pansy Todesco,4.1322762626,EE1058
10DAE1007,apoarch@gmail.com,326911298,Fosterville,3557,M,AE,5,Aleta Poarch,9.4496486969,AE1093
110CS1017,brigette@breckenstein.com.au,357223451,Caniambo,3630,F,CS,4,Brigette Breckenstein,6.2813099776,CS1051
110AE1067,eeverline@hotmail.com,353555505,Kialla East,3631,F,AE,4,Eleonore Everline,8.0652217083,AE1093
110PH1017,geraldine@gmail.com,382432999,Katunga,3640,M,PH,4,Geraldine Neisius,6.2152707395,PH1025
10DCS1076,adaline.galagher@galagher.com.au,232251954,Barooga,3644,F,CS,5,Adaline Galagher,8.0019242815,CS1052
110AE1032,felix.bumby@bumby.com.au,314313996,Baddaginnie,3670,F,AE,4,Felix Bumby,4.9851612407,AE1016
110EE1049,gracie.vicente@hotmail.com,324448291,Oxley,3678,M,EE,4,Gracie Vicente,5.8467743895,EE1092
110AE1033,skye_culcasi@hotmail.com,390753104,Barnawartha,3688,M,AE,4,Skye Culcasi,4.927199285,AE1034
110PH1038,henriette.gish@gish.net.au,399355135,Baranduda,3691,F,PH,4,Henriette Gish,9.0440075533,PH1025
110EE1030,inocencia.angeron@angeron.net.au,362682647,Tawonga,3697,M,EE,4,Inocencia Angeron,5.1094487463,EE1038
110ME1070,marilynn.herrera@herrera.net.au,314477041,Tawonga,3697,M,ME,4,Marilynn Herrera,8.2462338009,ME1022
10DCS1106,delbert.houben@hotmail.com,315606800,Mitta Mitta,3701,F,CS,5,Delbert Houben,9.965557965,CS1103
110EE1024,carman_robasciotti@hotmail.com,315709956,Granya,3701,M,EE,4,Carman Robasciotti,7.3812414822,EE1022
110ME1025,carylon@gmail.com,388587088,Alexandra,3714,M,ME,4,Carylon Bayot,4.0470035672,ME1083
10DEE1088,glynda@sanzenbacher.com.au,310517865,Kinglake West,3757,F,EE,5,Glynda Sanzenbacher,5.6712828237,EE1092
10DCS1036,haley_vaughn@vaughn.net.au,370356484,Montrose,3765,M,CS,5,Haley Vaughn,8.7909104605,CS1051
10DPH1080,georgeanna@silverstone.net.au,374166750,Steels Creek,3775,M,PH,5,Georgeanna Silverstone,7.1515130852,PH1062
110EE1068,marcos_seniff@gmail.com,363405010,Emerald,3782,F,EE,4,Marcos Seniff,8.1064174366,EE1058
10DME1016,felicitas_orlinski@orlinski.com.au,324511896,Emerald,3782,F,ME,5,Felicitas Orlinski,5.8036374529,ME1083
110CS1066,lore@hotmail.com,387803473,Kallista,3791,F,CS,4,Lore Brothers,9.8758245478,CS1027
10DPH1040,malcom@leja.com.au,324779133,Officer,3809,F,PH,5,Malcom Leja,8.8869957733,PH1067
110EE1072,pa_badgero@badgero.com.au,318615074,Pakenham Upper,3810,M,EE,4,Pa Badgero,9.470362992,EE1058
110CS1114,artie_saine@yahoo.com,334572524,Cora Lynn,3814,F,CS,4,Artie Saine,4.3446535417,CS1006
110AE1031,jesus_merkt@merkt.net.au,393419757,Licola,3858,F,AE,4,Jesus Merkt,9.5842222478,AE1016
110ME1015,reta.qazi@yahoo.com,319749948,Maffra,3860,M,ME,4,Reta Qazi,9.6069708811,ME1048
110CS1029,gianna@yahoo.com,343285253,Buchan,3885,F,CS,4,Gianna Eilers,7.5676787533,CS1006
110AE1021,alonzo_polek@polek.net.au,324037167,Tubbut,3888,F,AE,4,Alonzo Polek,6.5956819621,AE1009
110AE1035,hector.barras@barras.com.au,330178394,Combienbar,3889,M,AE,4,Hector Barras,8.94656011,AE1002
110ME1078,gabriele_frabotta@gmail.com,326896049,Ensay,3895,M,ME,4,Gabriele Frabotta,5.8018082366,ME1033
110CS1097,tamala_hickie@yahoo.com,336952399,Benambra,3900,F,CS,4,Tamala Hickie,5.4334146152,CS1027
110PH1013,kristin@hotmail.com,345297210,Somers,3927,M,PH,4,Kristin Shiflet,5.7392561538,PH1024
110EE1064,fschimke@schimke.com.au,348295695,Mount Martha,3934,F,EE,4,Frederic Schimke,7.0972753069,EE1022
110ME1005,bnicley@nicley.com.au,364432786,Fish Creek,3959,M,ME,4,Barrie Nicley,8.2754309927,ME1033
110CS1013,lynda.lazzaro@gmail.com,349334205,Macks Creek,3971,M,CS,4,Lynda Lazzaro,8.103388893,CS1028
